verb,collocations
ser,[humano; necesario; posible; capaz; responsable; consciente; parte; útil; miembro; libre]
partir,[de; a; mañana; viaje; cero; base; dos; aquí; ahora; pronto]
morir,[de; hambre; cáncer; amor; risa; sed; frío; viejo; sueño; guerra]
aceptar,[responsabilidad; propuesta; invitación; reto; verdad; derrota; condiciones; ayuda; pago; cambio]
realizar,[proyecto; estudio; investigación; trabajo; sueño; compra; análisis; cambio; pago; acto]
suponer,[que; reto; riesgo; problema; ventaja; costo; esfuerzo; cambio; pérdida; gasto]
comprender,[que; mundo; texto; situación; problema; importancia; proceso; realidad; lenguaje; nada]
lograr,[objetivo; meta; éxito; resultados; avance; reconocimiento; victoria; acuerdo; eficiencia; cambio]
explicar,[motivo; situación; razón; concepto; proceso; funcionamiento; idea; significado; caso; detalle]
preguntar,[por; si; qué; nombre; edad; hora; motivo; dirección; precio; algo]
tocar,[guitarra; piano; tema; puerta; violín; turno; tambor; fondo; cielo; suelo]
reconocer,[que; error; mérito; culpa; trabajo; realidad; rostro; derechos; importancia; verdad]
estudiar,[carrera; examen; caso; tema; historia; idioma; mercado; libro; materia; derecho]
alcanzar,[meta; objetivo; acuerdo; nivel; límite; cima; sueño; punto; velocidad; éxito]
nacer,[en; de; niño; idea; ciudad; amor; luz; sol; proyecto; estrella]
dirigir,[empresa; película; tráfico; orquesta; equipo; carta; proyecto; mirada; palabras; campaña]
correr,[riesgo; maratón; rumor; tiempo; sangre; agua; viento; carrera; calle; prisa]
utilizar,[herramienta; tecnología; recursos; información; datos; método; energía; software; material; dinero]
pagar,[impuestos; cuenta; precio; deuda; multa; servicios; alquiler; factura; intereses; cuota]
ayudar,[a; que; gente; persona; niños; clientes; estudiantes; pacientes; familia; amigo]
gustar,[mucho; nada; todo; idea; gente; música; comida; color; película; verbo]
jugar,[fútbol; cartas; papel; rol; videojuegos; béisbol; tenis; ajedrez; niños; equipo]
escuchar,[música; radio; podcast; consejo; ruido; voz; canción; historia; silencio; palabras]
cumplir,[años; objetivo; promesa; norma; ley; plazo; sueño; orden; función; meta]
ofrecer,[ayuda; servicios; apoyo; trabajo; empleo; oportunidad; solución; producto; dinero; café]
descubrir,[que; mundo; talento; verdad; secreto; oro; planeta; lugar; solución; error]
levantar,[mano; peso; cabeza; campamento; bandera; vuelo; edificio; ánimo; sesión; viento]
intentar,[hacer; ser; entender; evitar; resolver; explicar; llegar; salir; cambiar; todo]
valer,[la_pena; mucho; poco; oro; nada; fortuna; precio; tiempo; salario; esfuerzo]
subir,[a; al; precio; escalera; nivel; volumen; montaña; temperatura; foto; costo]
quedarse,[en; sin; dormido; callado; quieto; atrás; solo; fuera; corto; embarazada]
soler,[ser; hacer; ir; usar; estar; trabajar; decir; comer; ocurrir; pasar]
echar,[de_menos; a_perder; mano; fuera; culpa; raíces; gasolina; flores; llave; sal]
elegir,[entre; opción; candidato; camino; presidente; menú; nombre; mejor; carrera; representante]
soñar,[con; que; despierto; grande; lograr; futuro; éxito; libertad; viajar; amor]
reunir,[requisitos; fuerza; valor; dinero; información; familia; amigos; condiciones; pruebas; equipo]
actuar,[en; como; rápido; consecuencia; teatro; público; contra; favor; escena; papel]
andar,[bien; mal; buscando; suelto; camino; por; deprisa; lejos; armado; juntos]
adquirir,[experiencia; conocimientos; bienes; hábitos; empresa; compromiso; relevancia; capacidad; dominio; propiedad]
caber,[duda; en; cabeza; posibilidad; todo; idea; pregunta; sitio; miedo; debate]
enviar,[mensaje; carta; correo; paquete; información; solicitud; tropas; señal; datos; documento]
incluir,[impuestos; gastos; ejemplos; datos; información; cláusula; lista; características; seguro; servicios]
coger,[tren; mano; frío; carretera; sitio; camino; asiento; experiencia; fruta; teléfono]
sonreír,[a; feliz; tímido; dulce; ampliamente; poco; gentil; abiertamente; satisfecho; secreto]
prohibir,[fumar; entrada; venta; uso; paso; salida; acceso; armas; estacionar; beber]
oler,[bien; mal; a; perfume; humo; comida; humedad; gasolina; flores; quemado]
asir,[firmemente; mano; barra; oportunidad; cuerda; raíz; arma; mango; asa; vida]
lucir,[bien; mal; elegante; espectacular; hermoso; vestido; traje; sonrisa; nuevo; brillante]
aislar,[ruido; sonido; virus; paciente; cable; pared; térmicamente; socialmente; material; especie]
adecuar,[contenido; estilo; formato; estrategia; producto; lenguaje; diseño; respuesta; plan; conducta]
averiguar,[verdad; origen; causa; datos; información; razón; detalles; identidad; precios; ubicación]
bendecir,[boda; mesa; pueblo; familia; agua; comida; hijo; unión; pareja; casa]
complacer,[a; gusto; cliente; público; capricho; deseo; petición; rey; amo; audiencia]
pudrir,[carne; comida; fruta; madera; raíces; cuerpo; pescado; queso; basura; dientes]
predecir,[futuro; clima; resultados; comportamiento; eventos; tendencia; terremoto; tormenta; demanda; suerte]
yacer,[cuerpo; cadáver; víctima; tierra; tumba; lecho; cama; reposo; sepulcro; profundidad]
erguir,[cabeza; cuello; espalda; torso; estatua; figura; monumento; poste; columna; tronco]
aunar,[esfuerzos; voluntades; fuerzas; recursos; intereses; criterios; talentos; capacidades; opiniones; acciones]
rehusar,[aceptar; ayuda; oferta; invitación; propuesta; pago; comida; tratamiento; servicio; responsabilidad]
errar,[camino; blanco; tiro; paso; cálculo; juicio; decisión; rumbo; golpe; respuesta]
engullir,[comida; bocados; hamburguesa; sopa; aire; pastilla; alcohol; palabras; golosina; chicle]
discernir,[diferencias; patrones; detalles; verdad; señales; matices; significado; rostros; intención; información]
gruñir,[perro; cerdo; oso; estómago; gato; animal; voz; sonido; frustración; respuesta]
endeudarse,[con; banco; tarjeta; préstamo; hipoteca; hasta_el_cuello; más; gobierno; empresa; familia]
delinquir,[por; robo; drogas; violencia; necesidad; menores; arma; delito; reincidir; jóvenes]
argüir,[que; razón; derecho; ley; causa; necesidad; ignorancia; abuso; falta; principio]
reñir,[con; hijos; pareja; niños; hermano; amigo; alumno; empleado; colega; perro]
corroer,[metal; hierro; acero; superficie; conciencia; alma; culpa; duda; miedo; óxido]
tañer,[campanas; guitarra; arpa; laúd; órgano; violín; cuerda; vihuela; instrumento; tecla]
prohijar,[niño; huérfano; causa; idea; proyecto; política; iniciativa; modelo; tradición; teoría]
raer,[pintura; barniz; óxido; costra; hielo; barro; superficie; suelo; pegatina; piel]
europeizar,[país; cultura; economía; leyes; política; sistema; costumbres; sociedad; educación; ciudad]
levantarse,[temprano; tarde; cama; mañana; rebelar; rápido; de_la_silla; pueblo; ánimo; aire]
bañarse,[playa; piscina; río; mar; lago; agua; sol; jabón; ducha; noche]
quejarse,[de; dolor; ruido; hambre; injusticia; situación; frío; jefe; todo; atención]
arrepentirse,[de; pecado; error; decisión; palabra; acción; pasado; infidelidad; compra; acto]
esforzarse,[por; para; lograr; aprender; mejorar; conseguir; alcanzar; entender; estudiar; sacar]
liarse,[con; pelea; manta; cables; sábanas; cigarro; problema; asunto; persona; lío]
irse,[de; ya; lejos; ahora; pronto; viaje; vacaciones; casa; fiesta; corriendo]
echarse,[a; dormir; llorar; reír; correr; atrás; encima; siesta; un_trago; crema]
subirse,[a; al; tren; coche; escenario; árbol; avión; precio; cabeza; volumen]
bajarse,[de; del; tren; coche; autobús; pantalones; barco; nube; escenario; programa]
darse,[cuenta; prisa; vuelta; baño; lujo; golpe; cita; gusto; por_vencido; por_informado]
fijarse,[en; bien; que; detalle; todo; nada; error; persona; situación; problema]
meterse,[en; con; lío; problemas; cama; mano; gol; cabeza; agua; dentro]
dudar,[de; que; si; mucho; nada; algo; nunca; verdad; capacidad; existencia]
reírse,[de; mucho; a_carcajadas; solo; bien; mal; todos; chiste; uno_mismo; broma]
