verb_id,verb,collocations
1,ser,[humano; necesario; posible; capaz; responsable; consciente; parte; útil; miembro; libre]
68,oír,[ruido; voz; música; pasos; noticias; gritos; campanas; hablar; nada; todo]
69,acabar,[de; con; por; todo; tiempo; carrera; proyecto; problema; tarde; fin]
70,convertir,[en; realidad; moneda; líder; hábito; rutina; oportunidad; energía; problema; leyenda]
71,ganar,[dinero; tiempo; terreno; confianza; experiencia; respeto; guerra; premio; partido; peso]
72,formar,[parte; equipo; grupo; opinión; filas; coalición; comunidad; profesionales; ciudadanos; alianza]
73,traer,[consigo; problemas; suerte; recuerdos; noticias; regalos; comida; consecuencias; paz; lluvia]
74,partir,[de; a; mañana; viaje; cero; base; dos; aquí; ahora; pronto]
75,morir,[de; hambre; cáncer; amor; risa; sed; frío; viejo; sueño; guerra]
76,aceptar,[responsabilidad; propuesta; invitación; reto; verdad; derrota; condiciones; ayuda; pago; cambio]
77,realizar,[proyecto; estudio; investigación; trabajo; sueño; compra; análisis; cambio; pago; acto]
78,suponer,[que; reto; riesgo; problema; ventaja; costo; esfuerzo; cambio; pérdida; gasto]
79,comprender,[que; mundo; texto; situación; problema; importancia; proceso; realidad; lenguaje; nada]
80,lograr,[objetivo; meta; éxito; resultados; avance; reconocimiento; victoria; acuerdo; eficiencia; cambio]
81,explicar,[motivo; situación; razón; concepto; proceso; funcionamiento; idea; significado; caso; detalle]
82,preguntar,[por; si; qué; nombre; edad; hora; motivo; dirección; precio; algo]
83,tocar,[guitarra; piano; tema; puerta; violín; turno; tambor; fondo; cielo; suelo]
84,reconocer,[que; error; mérito; culpa; trabajo; realidad; rostro; derechos; importancia; verdad]
85,estudiar,[carrera; examen; caso; tema; historia; idioma; mercado; libro; materia; derecho]
86,alcanzar,[meta; objetivo; acuerdo; nivel; límite; cima; sueño; punto; velocidad; éxito]
87,nacer,[en; de; niño; idea; ciudad; amor; luz; sol; proyecto; estrella]
88,dirigir,[empresa; película; tráfico; orquesta; equipo; carta; proyecto; mirada; palabras; campaña]
89,correr,[riesgo; maratón; rumor; tiempo; sangre; agua; viento; carrera; calle; prisa]
90,utilizar,[herramienta; tecnología; recursos; información; datos; método; energía; software; material; dinero]
91,pagar,[impuestos; cuenta; precio; deuda; multa; servicios; alquiler; factura; intereses; cuota]
92,ayudar,[a; que; gente; persona; niños; clientes; estudiantes; pacientes; familia; amigo]
93,gustar,[mucho; nada; todo; idea; gente; música; comida; color; película; verbo]
94,jugar,[fútbol; cartas; papel; rol; videojuegos; béisbol; tenis; ajedrez; niños; equipo]
95,escuchar,[música; radio; podcast; consejo; ruido; voz; canción; historia; silencio; palabras]
96,cumplir,[años; objetivo; promesa; norma; ley; plazo; sueño; orden; función; meta]
97,ofrecer,[ayuda; servicios; apoyo; trabajo; empleo; oportunidad; solución; producto; dinero; café]
98,descubrir,[que; mundo; talento; verdad; secreto; oro; planeta; lugar; solución; error]
99,levantar,[mano; peso; cabeza; campamento; bandera; vuelo; edificio; ánimo; sesión; viento]
100,intentar,[hacer; ser; entender; evitar; resolver; explicar; llegar; salir; cambiar; todo]
101,valer,[la_pena; mucho; poco; oro; nada; fortuna; precio; tiempo; salario; esfuerzo]
102,subir,[a; al; precio; escalera; nivel; volumen; montaña; temperatura; foto; costo]
103,quedarse,[en; sin; dormido; callado; quieto; atrás; solo; fuera; corto; embarazada]
104,soler,[ser; hacer; ir; usar; estar; trabajar; decir; comer; ocurrir; pasar]
105,echar,[de_menos; a_perder; mano; fuera; culpa; raíces; gasolina; flores; llave; sal]
106,elegir,[entre; opción; candidato; camino; presidente; menú; nombre; mejor; carrera; representante]
107,soñar,[con; que; despierto; grande; lograr; futuro; éxito; libertad; viajar; amor]
108,reunir,[requisitos; fuerza; valor; dinero; información; familia; amigos; condiciones; pruebas; equipo]
109,actuar,[en; como; rápido; consecuencia; teatro; público; contra; favor; escena; papel]
110,andar,[bien; mal; buscando; suelto; camino; por; deprisa; lejos; armado; juntos]
111,adquirir,[experiencia; conocimientos; bienes; hábitos; empresa; compromiso; relevancia; capacidad; dominio; propiedad]
112,caber,[duda; en; cabeza; posibilidad; todo; idea; pregunta; sitio; miedo; debate]
113,enviar,[mensaje; carta; correo; paquete; información; solicitud; tropas; señal; datos; documento]
114,incluir,[impuestos; gastos; ejemplos; datos; información; cláusula; lista; características; seguro; servicios]
115,coger,[tren; mano; frío; carretera; sitio; camino; asiento; experiencia; fruta; teléfono]
116,sonreír,[a; feliz; tímido; dulce; ampliamente; poco; gentil; abiertamente; satisfecho; secreto]
117,prohibir,[fumar; entrada; venta; uso; paso; salida; acceso; armas; estacionar; beber]
118,oler,[bien; mal; a; perfume; humo; comida; humedad; gasolina; flores; quemado]
119,asir,[firmemente; mano; barra; oportunidad; cuerda; raíz; arma; mango; asa; vida]
120,lucir,[bien; mal; elegante; espectacular; hermoso; vestido; traje; sonrisa; nuevo; brillante]
121,aislar,[ruido; sonido; virus; paciente; cable; pared; térmicamente; socialmente; material; especie]
122,adecuar,[contenido; estilo; formato; estrategia; producto; lenguaje; diseño; respuesta; plan; conducta]
123,averiguar,[verdad; origen; causa; datos; información; razón; detalles; identidad; precios; ubicación]
124,bendecir,[boda; mesa; pueblo; familia; agua; comida; hijo; unión; pareja; casa]
125,complacer,[a; gusto; cliente; público; capricho; deseo; petición; rey; amo; audiencia]
126,pudrir,[carne; comida; fruta; madera; raíces; cuerpo; pescado; queso; basura; dientes]
127,predecir,[futuro; clima; resultados; comportamiento; eventos; tendencia; terremoto; tormenta; demanda; suerte]
128,yacer,[cuerpo; cadáver; víctima; tierra; tumba; lecho; cama; reposo; sepulcro; profundidad]
129,erguir,[cabeza; cuello; espalda; torso; estatua; figura; monumento; poste; columna; tronco]
130,aunar,[esfuerzos; voluntades; fuerzas; recursos; intereses; criterios; talentos; capacidades; opiniones; acciones]
131,rehusar,[aceptar; ayuda; oferta; invitación; propuesta; pago; comida; tratamiento; servicio; responsabilidad]
132,errar,[camino; blanco; tiro; paso; cálculo; juicio; decisión; rumbo; golpe; respuesta]
133,engullir,[comida; bocados; hamburguesa; sopa; aire; pastilla; alcohol; palabras; golosina; chicle]
134,discernir,[diferencias; patrones; detalles; verdad; señales; matices; significado; rostros; intención; información]
135,gruñir,[perro; cerdo; oso; estómago; gato; animal; voz; sonido; frustración; respuesta]
136,endeudarse,[con; banco; tarjeta; préstamo; hipoteca; hasta_el_cuello; más; gobierno; empresa; familia]
137,delinquir,[por; robo; drogas; violencia; necesidad; menores; arma; delito; reincidir; jóvenes]
138,argüir,[que; razón; derecho; ley; causa; necesidad; ignorancia; abuso; falta; principio]
139,reñir,[con; hijos; pareja; niños; hermano; amigo; alumno; empleado; colega; perro]
140,corroer,[metal; hierro; acero; superficie; conciencia; alma; culpa; duda; miedo; óxido]
141,tañer,[campanas; guitarra; arpa; laúd; órgano; violín; cuerda; vihuela; instrumento; tecla]
142,prohijar,[niño; huérfano; causa; idea; proyecto; política; iniciativa; modelo; tradición; teoría]
143,raer,[pintura; barniz; óxido; costra; hielo; barro; superficie; suelo; pegatina; piel]
144,europeizar,[país; cultura; economía; leyes; política; sistema; costumbres; sociedad; educación; ciudad]
145,levantarse,[temprano; tarde; cama; mañana; rebelar; rápido; de_la_silla; pueblo; ánimo; aire]
146,bañarse,[playa; piscina; río; mar; lago; agua; sol; jabón; ducha; noche]
147,quejarse,[de; dolor; ruido; hambre; injusticia; situación; frío; jefe; todo; atención]
148,arrepentirse,[de; pecado; error; decisión; palabra; acción; pasado; infidelidad; compra; acto]
149,esforzarse,[por; para; lograr; aprender; mejorar; conseguir; alcanzar; entender; estudiar; sacar]
150,liarse,[con; pelea; manta; cables; sábanas; cigarro; problema; asunto; persona; lío]
151,irse,[de; ya; lejos; ahora; pronto; viaje; vacaciones; casa; fiesta; corriendo]
152,echarse,[a; dormir; llorar; reír; correr; atrás; encima; siesta; un_trago; crema]
153,subirse,[a; al; tren; coche; escenario; árbol; avión; precio; cabeza; volumen]
154,bajarse,[de; del; tren; coche; autobús; pantalones; barco; nube; escenario; programa]
155,darse,[cuenta; prisa; vuelta; baño; lujo; golpe; cita; gusto; por_vencido; por_informado]
156,fijarse,[en; bien; que; detalle; todo; nada; error; persona; situación; problema]
157,meterse,[en; con; lío; problemas; cama; mano; gol; cabeza; agua; dentro]
158,dudar,[de; que; si; mucho; nada; algo; nunca; verdad; capacidad; existencia]
159,reírse,[de; mucho; a_carcajadas; solo; bien; mal; todos; chiste; uno_mismo; broma]
